Team,Country,Pot
Paris Saint-Germain,France,1
Bayern Munich,Germany,1
Real Madrid,Spain,1
Liverpool,England,1
Inter Milan,Italy,1
Manchester City,England,1
Arsenal,England,1
Barcelona,Spain,1
Atletico Madrid,Spain,1
Borussia Dortmund,Germany,2
Roma,Italy,2
Sporting CP,Portugal,2
Aston Villa,England,2
Porto,Portugal,2
Manchester United,England,2
Club Brugge,Belgium,2
Real Betis,Spain,2
PSV Eindhoven,Netherlands,2
Feyenoord,Netherlands,3
Lille,France,3
Bodo/Glimt,Norway,3
Napoli,Italy,3
RB Leipzig,Germany,3
Villarreal,Spain,3
Fenerbahce,Turkey,3
Shakhtar Donetsk,Ukraine,3
Galatasaray,Turkey,3
Slavia Prague,Czech Republic,4
Slovan Bratislava,Slovakia,4
Stuttgart,Germany,4
AEK Athens,Greece,4
LASK,Austria,4
Como,Italy,4
Lens,France,4
Viking,Norway,4
Sabah,Azerbaijan,4
